ID,地区,名称,人数,時点,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,標高,電話番号,災害種別_洪水,災害種別_崖崩れ、土石流及び地滑り,災害種別_高潮,災害種別_地震,災害種別_津波,災害種別_大規模な火事,災害種別_内水氾濫,災害種別_火山現象,想定収容人数,対象となる町会・自治会
CC0000000504,御祓,御祓地区コミュニティセンター,23,令和6年3月26日午前6時,,石川県七尾市一本杉町１２４,石川県,七尾市,一本杉町,124番地,,37.04826,136.96136,2.7,,1.0,1.0,1.0,1.0,1.0,,1.0,,屋内191人／屋外0人(面積の1/2),御祓地区（25町会）
CC0000000537,矢田郷,矢田郷地区コミュニティセンター,106,令和6年3月26日午前6時,,石川県七尾市本府中町ヲ３８,石川県,七尾市,本府中町ヲ,38,,37.03364,136.96987,14.8,0767-52-9850,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,"屋内1,700人／屋外2,250人(面積の1/2)",矢田郷地区（24町会）
CC0000000547,東湊,東湊地区コミュニティセンター,3,令和6年3月26日午前6時,,石川県七尾市佐味町ト２－３,石川県,七尾市,佐味町ト,２ー３,,37.04838,136.99758,3.0,076-225-1262,1.0,1.0,1.0,1.0,1.0,,1.0,,屋内145人／屋外0人(面積の1/2),東湊地区（7町会）
CC0000000553,西湊,七尾総合市民体育館,73,令和6年3月26日午前6時,,石川県七尾市小島町西４,石川県,七尾市,小島町西,4,,37.04376,136.95279,15.0,0767-52-9266,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,屋内720人／屋外0人(面積の1/2),西湊地区（13町会）
CC0000000551,西湊,西湊地区コミュニティセンター,4,令和6年3月26日午前6時,,石川県七尾市津向町松山１,石川県,七尾市,津向町松山,1,,37.05771,136.95045,4.0,0767-52-3149,1.0,1.0,1.0,1.0,1.0,,1.0,,屋内244人／屋外0人(面積の1/2),西湊地区（13町会）
CC0000000565,和倉,和倉小学校,56,令和6年3月26日午前6時,,石川県七尾市和倉町ひばり３－９０,石川県,七尾市,和倉町ひばり,３ー９０,,37.08308,136.91803,17.0,0767-62-2837,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,"屋内396人／屋外3,600人(面積の1/2)",和倉地区（8町会）
CC0000000564,和倉,和倉地区コミュニティセンター,10,令和6年3月26日午前6時,,石川県七尾市和倉町ク１５－３,石川県,七尾市,和倉町ク,１５ー３,,37.08554,136.91724,11.0,0767-62-2072,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,屋内90人／屋外1570人(面積の1/2),和倉地区（8町会）
CC0000000575,崎山,崎山地区コミュニティセンター,9,令和6年3月26日午前6時,,石川県七尾市鵜浦町下１３－２,石川県,七尾市,鵜浦町下,１３ー２,,37.09727,137.04635,2.0,0767-53-8434,,1.0,,1.0,,1.0,,,"屋内523人／屋外3,589人(面積の1/2)",崎山地区（4町会）
CC0000000576,崎山,旧北嶺中学校,4,令和6年3月26日午前6時,,石川県七尾市湯川町３－６８－２,石川県,七尾市,湯川町,３ー６８ー２,,37.08343,137.04228,33.0,0767-59-1124,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,"屋内905人／屋外4,939人(面積の1/2)",崎山地区（4町会）
CC0000000577,高階,高階地区コミュニティセンター,9,令和6年3月26日午前6時,,石川県七尾市町屋町ホ５５,石川県,七尾市,町屋町ホ,55,,37.03271,136.90198,8.0,0767-59-1114,1.0,1.0,,1.0,,1.0,1.0,,"屋内415人／屋外4,718人(面積の1/2)",高階地区（9町会）
CC0000000579,田鶴浜,田鶴浜地区コミュニティセンター（サンビーム）,52,令和6年3月26日午前6時,,石川県七尾市垣吉町へ２４,石川県,七尾市,垣吉町へ,24,,37.05963,136.89507,13.0,0767-58-1213,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,"屋内483人／屋外2,350人(面積の1/2)",田鶴浜地区（20町会）
CC0000000602,中島,中島地区コミュニティセンター豊川分館,16,令和6年3月26日午前6時,,石川県七尾市中島町豊田町ル１３－１,石川県,七尾市,中島町豊田町ル,１３ー１,,37.10085,136.83388,3.0,0767-66-1567,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,"屋内378人／屋外4,500人(面積の1/2)",豊川地区（7町会）
CC0000000607,能登島,能登島生涯学習センター,17,令和6年3月26日午前6時,,石川県七尾市能登島向田町五級６３－１,石川県,七尾市,能登島向田町五級,６３ー１,,37.12197,136.99388,41.0,0767-66-1778,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,"屋内1,047人／屋外5,000人(面積の1/2)",能登島地区（20町会）
