ID,名称,名称_カナ,名称_英字,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,標高,電話番号,災害種別_洪水,災害種別_崖崩れ、土石流及び地滑り,災害種別_高潮,災害種別_地震,災害種別_津波,災害種別_大規模な火事,災害種別_内水氾濫,災害種別_火山現象,想定収容人数,対象となる町会・自治会
CC0000000504,御祓地区コミュニティセンター,ミソギチクコミュニティセンター,misogichikukomyuniteisenta,172022,,石川県七尾市一本杉町１２４,石川県,七尾市,一本杉町,124番地,,37.04826,136.96136,2.7,,1.0,1.0,1.0,1.0,1.0,,1.0,,屋内191人／屋外0人(面積の1/2),御祓地区（25町会）
CC0000000505,七尾中学校,ナナオチュウガッコウ,nanaochugakko,172022,,石川県七尾市藤橋町辰部５２－１,石川県,七尾市,藤橋町辰部,52番地1,,37.03803,136.95849,3.9,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,"屋内1,371人／屋外5,470人（面積の1/2）",御祓地区（25町会）
CC0000000506,県立七尾高等学校,ケンリツナナオコウトウガッコウ,kenritsunanaokotogakko,172022,,石川県七尾市西藤橋町エ１－１,石川県,七尾市,西藤橋町エ,1番地1,,37.04215,136.95888,3.2,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,"屋内2,736人屋外11,700人（面積の1/2）",御祓地区（25町会）
CC0000000507,県立七尾城北高等学校,ケンリツナナオジョウホクコウトウガッコウ,kenritsunanaojohokukotogakko,172022,,石川県七尾市西藤橋町エ１－１,石川県,七尾市,西藤橋町エ,1番地1,,37.04334,136.95959,3.2,0767-53-0821,1.0,1.0,1.0,1.0,1.0,,1.0,,屋内240人／屋外0人（面積の1/2）,御祓地区（25町会）
CC0000000508,小丸山城址公園,コマルヤマシロアトコウエン,komaruyamashiroatokoen,172022,,石川県七尾市馬出町子１－１,石川県,七尾市,馬出町子,1番地1,,37.04629,136.95942,16.0,0767-53-7705,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,"屋内0人／屋外9,700人(面積の1/2)",御祓地区（25町会）
CC0000000509,県中能登総合事務所（駐車場）,ケンナカノトソウゴウジムショ（チュウシャジョウ）,kennakanotosogojimusho（chushajo）,172022,,石川県七尾市小島町ニ３３,石川県,七尾市,小島町ニ,33番地,,37.04797,136.95815,5.0,0767-52-3187,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,"屋内0人／屋外1,910人(面積の1/2)",御祓地区（25町会）
CC0000000510,桜町児童公園,サクラマチジドウコウエン,sakuramachijidokoen,172022,,石川県七尾市桜町７９,石川県,七尾市,桜町,79番地,,37.05116,136.96435,1.5,0767-53-1897,1.0,1.0,,1.0,,1.0,1.0,,屋内0人／屋外750人(面積の1/2),御祓地区（25町会）
CC0000000511,七尾産業福祉センター（４F）,ナナオサンギョウフクシセンター（ヨンカイ）,nanaosangyofukushisenta（yonkai）,172022,,石川県七尾市三島町７０－１,石川県,七尾市,三島町,70番地1,,37.04796,136.96645,2.0,0767-53-8429,,,1.0,,1.0,,,,"屋内1,956人／屋外0人(面積の1/2)",御祓地区（25町会）
CC0000000512,恵寿総合病院（本館）（４F）,ケイジュソウゴウビョウイン（ホンカン）（ヨンカイ）,keijusogobyoin（honkan）（yonkai）,172022,,石川県七尾市富岡町９４,石川県,七尾市,富岡町,94番地,,37.05083,136.96179,1.0,0767-52-6111,,,1.0,,1.0,,,,"屋内1,028人／屋外0人(面積の1/2)",御祓地区（25町会）
CC0000000513,ローレルハイツ恵寿（３F）,ローレルハイツメグミコトブキ（サンカイ）,roreruhaitsumegumikotobuki（sankai）,172022,,石川県七尾市富岡町９５,石川県,七尾市,富岡町,95番地,,37.05078,136.96092,2.0,0767-53-8429,,,1.0,,1.0,,,,屋内879人／屋外0人(面積の1/2),御祓地区（25町会）
CC0000000514,北陸電力株式会社,ホクリクデンリョクカブシキカイシャ ナナオシシャ（オクジョウ）,hokurikudenryokukabushikikaisha nanaoshisha（okujo）,172022,,石川県七尾市三島町６１－７,石川県,七尾市,三島町,61番地7,,37.04808,136.96573,1.1,0767-54-8888,,,1.0,,1.0,,,,屋内604人／屋外0人(面積の1/1),御祓地区（25町会）
CC0000000515,パトリア（４F）,パトリア（ヨンカイ）,patoria（yonkai）,172022,,石川県七尾市御祓町１,石川県,七尾市,御祓町,1番地,,37.04337,136.96334,7.0,0767-52-3211,,,1.0,,1.0,,,,"屋内39,400人／屋外0人(面積の1/1)",御祓地区（25町会）
CC0000000516,ミナ.クル（４F）,ミナ.クル（ヨンカイ）,mina.kuru（yonkai）,172022,,石川県七尾市神明町１,石川県,七尾市,神明町,1番地,,37.04335,136.9646,6.0,0767-52-6014,,,1.0,,1.0,,,,"屋内13,997人／屋外0人(面積の1/1)",御祓地区（25町会）
CC0000000517,DSGアリーナ七尾店（立体駐車場4F）,ディーエスジーアリーナナナオテン（リッタイチュウシャジョウヨンカイ）,deiesujiarinananaoten（rittaichushajoyonkai）,172022,,石川県七尾市藤橋町亥２１,石川県,七尾市,藤橋町亥,21番地,,37.03704,136.95494,7.0,0767-53-0203,,,1.0,,1.0,,,,"屋内1,550人／屋外0人（面積の1/1）",御祓地区（25町会）
CC0000000518,山王小学校,サンノウショウガッコウ,sannoshogakko,172022,,石川県七尾市山王町ツ３４,石川県,七尾市,山王町ツ,34番地,,37.04185,136.97373,4.2,0767-57-5018,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,"屋内480人／屋外3,350人(面積の1/2)",袖ケ江地区（19町会）
CC0000000519,みなとふれあいスポーツセンター,ミナトフレアイスポーツセンター,minatofureaisupotsusenta,172022,,石川県七尾市矢田新町ニ１－１,石川県,七尾市,矢田新町ニ,1番地1,,37.04956,136.97774,1.7,0767-53-2020,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,屋内524人／屋外0人(面積の1/2),袖ケ江地区（19町会）
CC0000000520,みなと小公園,ミナトショウコウエン,minatoshokoen,172022,,石川県七尾市矢田新町２－５８－１,石川県,七尾市,矢田新町2丁目,58番地1,,37.04886,136.97729,2.4,0767-52-1133,1.0,1.0,,1.0,,1.0,1.0,,"屋内0人／屋外1,201人(面積の1/2)",袖ケ江地区（19町会）
CC0000000521,湊町都市再開発用地,ミナトチョウトシサイカイハツヨウチ,minatochotoshisaikaihatsuyochi,172022,,石川県七尾市矢田新町ハ,石川県,七尾市,矢田新町ハ,,,37.04693,136.97405,1.2,0767-53-0586,1.0,1.0,,1.0,,1.0,1.0,,"屋内0人／屋外7,827人(面積の1/2)",袖ケ江地区（19町会）
CC0000000522,七尾マリンパーク,ナナオマリンパーク,nanaomarimpaku,172022,,石川県七尾市府中町員外６７,石川県,七尾市,府中町員外,67番地,,37.04912,136.96984,2.0,0767-52-1218,1.0,1.0,,1.0,,1.0,1.0,,"屋内0人／屋外12,555人(面積の1/2)",袖ケ江地区（19町会）
CC0000000523,ポートサイド七尾（５F）,ポートサイドナナオ（ゴカイ）,potosaidonanao（gokai）,172022,,石川県七尾市矢田新町地先埋立地,石川県,七尾市,矢田新町地先埋立地,,,37.04953,136.97615,0.0,0767-53-0440,,,1.0,,1.0,,,,屋内537人／屋外0人(面積の1/1),袖ケ江地区（19町会）
CC0000000524,プラザ信開,プラザシンカイ カワハラマチ（ヨンカイ）,purazashinkai kawaharamachi（yonkai）,172022,,石川県七尾市川原町１８,石川県,七尾市,川原町,18番地,,37.04215,136.9696,2.6,0767-53-0440,,,1.0,,1.0,,,,屋内527人／屋外0人(面積の1/1),袖ケ江地区（19町会）
